Year,Date,AreaType
1990,1,urban
1991,6,urban
1992,11,urban
1993,22,urban
1994,13,urban
1995,10,urban
1996,10,urban
1997,8,urban
1998,12,urban
1999,5,urban
2000,10,urban
2001,12,urban
2002,6,urban
2003,6,urban
2004,6,urban
2005,2,urban
2006,6,urban
2007,9,urban
2008,27,urban
2009,22,urban
2010,13,urban
2011,10,urban
2012,11,urban
2013,17,urban
1991,1,rural
1993,4,rural
1994,1,rural
1995,2,rural
1996,1,rural
1997,1,rural
1998,1,rural
1999,1,rural
2002,1,rural
2004,1,rural
2005,2,rural
2006,3,rural
2008,1,rural
2009,1,rural
2013,2,rural
1990,1,suburban
1992,2,suburban
1993,9,suburban
1994,8,suburban
1995,1,suburban
1996,5,suburban
1997,3,suburban
1998,3,suburban
1999,6,suburban
2000,3,suburban
2001,2,suburban
2002,1,suburban
2003,6,suburban
2004,4,suburban
2005,1,suburban
2006,8,suburban
2007,3,suburban
2008,4,suburban
2009,6,suburban
2010,8,suburban
2011,6,suburban
2012,5,suburban
2013,7,suburban
