State,Count
California,92
Texas,54
Florida,47
Tennessee,31
Georgia,31
Pennsylvania,29
Illinois,28
North Carolina,28
Michigan,26
Washington,26
Ohio,23
Alabama,21
New York,20
Louisiana,16
Virginia,15
Missouri,14
Arkansas,12
Wisconsin,12
Maryland,12
Arizona,11
Indiana,11
Massachusetts,11
Oregon,11
South Carolina,11
Kentucky,10
Colorado,10
Mississippi,8
Nevada,8
Iowa,7
Utah,6
District of Columbia,6
Connecticut,6
Minnesota,6
New Mexico,5
Oklahoma,5
Nebraska,4
Idaho,3
Delaware,3
Vermont,2
District Of Columbia,2
Hawaii,2
Montana,2
West Virginia,2
Wyoming,2
Alaska,2
New Jersey,2
South Dakota,1
Maine,1
Rhode Island,1
New Hampshire,1
Kansas,1
